source_table,source_column,source_type,bread_type,legacy_format,legacy_path_root,target_metadata,access_rule,orphan_rule,validation,evidence
payments_backup_210620261147am,cheque_file_path,varchar(255),UNVERIFIED: no file-type BREAD declaration,Usually scalar path; profile before load,"Voyager/public storage relative path, often payments_backup_210620261147am/<MonthYear>/...; physical root UNVERIFIED","file_id UUID, object_key, original_name, detected_mime, size_bytes, sha256, source_table, source_id, source_column, ordinal, created_at, classification",Private-by-default; short-lived authorized download; resource policy plus document classification,"Inventory path; MISSING if DB ref lacks object; ORPHAN if object lacks ref; quarantine, never silently delete",byte-for-byte SHA-256 after copy; independently sniff MIME; size parity; JSON cardinality parity,CONFIRMED field/BREAD metadata; UNVERIFIED storage existence without filesystem inventory
payments_bk,cheque_file_path,varchar(255),UNVERIFIED: no file-type BREAD declaration,Usually scalar path; profile before load,"Voyager/public storage relative path, often payments_bk/<MonthYear>/...; physical root UNVERIFIED","file_id UUID, object_key, original_name, detected_mime, size_bytes, sha256, source_table, source_id, source_column, ordinal, created_at, classification",Private-by-default; short-lived authorized download; resource policy plus document classification,"Inventory path; MISSING if DB ref lacks object; ORPHAN if object lacks ref; quarantine, never silently delete",byte-for-byte SHA-256 after copy; independently sniff MIME; size parity; JSON cardinality parity,CONFIRMED field/BREAD metadata; UNVERIFIED storage existence without filesystem inventory
police_clearances,photo_file_path,varchar(250),file,Usually scalar path; profile before load,"Voyager/public storage relative path, often police_clearances/<MonthYear>/...; physical root UNVERIFIED","file_id UUID, object_key, original_name, detected_mime, size_bytes, sha256, source_table, source_id, source_column, ordinal, created_at, classification",Private-by-default; short-lived authorized download; resource policy plus document classification,"Inventory path; MISSING if DB ref lacks object; ORPHAN if object lacks ref; quarantine, never silently delete",byte-for-byte SHA-256 after copy; independently sniff MIME; size parity; JSON cardinality parity,CONFIRMED field/BREAD metadata; UNVERIFIED storage existence without filesystem inventory
posts,image,varchar(255),image,Usually scalar path; profile before load,"Voyager/public storage relative path, often posts/<MonthYear>/...; physical root UNVERIFIED","file_id UUID, object_key, original_name, detected_mime, size_bytes, sha256, source_table, source_id, source_column, ordinal, created_at, classification",Private-by-default; short-lived authorized download; resource policy plus document classification,"Inventory path; MISSING if DB ref lacks object; ORPHAN if object lacks ref; quarantine, never silently delete",byte-for-byte SHA-256 after copy; independently sniff MIME; size parity; JSON cardinality parity,CONFIRMED field/BREAD metadata; UNVERIFIED storage existence without filesystem inventory
professional_certificates,certificate_issue_date,date,UNVERIFIED: no file-type BREAD declaration,Usually scalar path; profile before load,"Voyager/public storage relative path, often professional_certificates/<MonthYear>/...; physical root UNVERIFIED","file_id UUID, object_key, original_name, detected_mime, size_bytes, sha256, source_table, source_id, source_column, ordinal, created_at, classification",Private-by-default; short-lived authorized download; resource policy plus document classification,"Inventory path; MISSING if DB ref lacks object; ORPHAN if object lacks ref; quarantine, never silently delete",byte-for-byte SHA-256 after copy; independently sniff MIME; size parity; JSON cardinality parity,CONFIRMED field/BREAD metadata; UNVERIFIED storage existence without filesystem inventory
professional_certificates,certificate_expire_date,date,UNVERIFIED: no file-type BREAD declaration,Usually scalar path; profile before load,"Voyager/public storage relative path, often professional_certificates/<MonthYear>/...; physical root UNVERIFIED","file_id UUID, object_key, original_name, detected_mime, size_bytes, sha256, source_table, source_id, source_column, ordinal, created_at, classification",Private-by-default; short-lived authorized download; resource policy plus document classification,"Inventory path; MISSING if DB ref lacks object; ORPHAN if object lacks ref; quarantine, never silently delete",byte-for-byte SHA-256 after copy; independently sniff MIME; size parity; JSON cardinality parity,CONFIRMED field/BREAD metadata; UNVERIFIED storage existence without filesystem inventory
professional_certificates,certificate_file_path,varchar(250),UNVERIFIED: no file-type BREAD declaration,Usually scalar path; profile before load,"Voyager/public storage relative path, often professional_certificates/<MonthYear>/...; physical root UNVERIFIED","file_id UUID, object_key, original_name, detected_mime, size_bytes, sha256, source_table, source_id, source_column, ordinal, created_at, classification",Private-by-default; short-lived authorized download; resource policy plus document classification,"Inventory path; MISSING if DB ref lacks object; ORPHAN if object lacks ref; quarantine, never silently delete",byte-for-byte SHA-256 after copy; independently sniff MIME; size parity; JSON cardinality parity,CONFIRMED field/BREAD metadata; UNVERIFIED storage existence without filesystem inventory
skills,certificate_file_path,varchar(250),UNVERIFIED: no file-type BREAD declaration,Usually scalar path; profile before load,"Voyager/public storage relative path, often skills/<MonthYear>/...; physical root UNVERIFIED","file_id UUID, object_key, original_name, detected_mime, size_bytes, sha256, source_table, source_id, source_column, ordinal, created_at, classification",Private-by-default; short-lived authorized download; resource policy plus document classification,"Inventory path; MISSING if DB ref lacks object; ORPHAN if object lacks ref; quarantine, never silently delete",byte-for-byte SHA-256 after copy; independently sniff MIME; size parity; JSON cardinality parity,CONFIRMED field/BREAD metadata; UNVERIFIED storage existence without filesystem inventory
sub_agents,bid_file_path,varchar(255),file,Usually scalar path; profile before load,"Voyager/public storage relative path, often sub_agents/<MonthYear>/...; physical root UNVERIFIED","file_id UUID, object_key, original_name, detected_mime, size_bytes, sha256, source_table, source_id, source_column, ordinal, created_at, classification",Private-by-default; short-lived authorized download; resource policy plus document classification,"Inventory path; MISSING if DB ref lacks object; ORPHAN if object lacks ref; quarantine, never silently delete",byte-for-byte SHA-256 after copy; independently sniff MIME; size parity; JSON cardinality parity,CONFIRMED field/BREAD metadata; UNVERIFIED storage existence without filesystem inventory
sub_agents,nid_file_path,varchar(255),file,Usually scalar path; profile before load,"Voyager/public storage relative path, often sub_agents/<MonthYear>/...; physical root UNVERIFIED","file_id UUID, object_key, original_name, detected_mime, size_bytes, sha256, source_table, source_id, source_column, ordinal, created_at, classification",Private-by-default; short-lived authorized download; resource policy plus document classification,"Inventory path; MISSING if DB ref lacks object; ORPHAN if object lacks ref; quarantine, never silently delete",byte-for-byte SHA-256 after copy; independently sniff MIME; size parity; JSON cardinality parity,CONFIRMED field/BREAD metadata; UNVERIFIED storage existence without filesystem inventory
sub_agents,passport_file_path,varchar(250),file,Usually scalar path; profile before load,"Voyager/public storage relative path, often sub_agents/<MonthYear>/...; physical root UNVERIFIED","file_id UUID, object_key, original_name, detected_mime, size_bytes, sha256, source_table, source_id, source_column, ordinal, created_at, classification",Private-by-default; short-lived authorized download; resource policy plus document classification,"Inventory path; MISSING if DB ref lacks object; ORPHAN if object lacks ref; quarantine, never silently delete",byte-for-byte SHA-256 after copy; independently sniff MIME; size parity; JSON cardinality parity,CONFIRMED field/BREAD metadata; UNVERIFIED storage existence without filesystem inventory
sub_agents,full_photo_file_path,varchar(255),image,Usually scalar path; profile before load,"Voyager/public storage relative path, often sub_agents/<MonthYear>/...; physical root UNVERIFIED","file_id UUID, object_key, original_name, detected_mime, size_bytes, sha256, source_table, source_id, source_column, ordinal, created_at, classification",Private-by-default; short-lived authorized download; resource policy plus document classification,"Inventory path; MISSING if DB ref lacks object; ORPHAN if object lacks ref; quarantine, never silently delete",byte-for-byte SHA-256 after copy; independently sniff MIME; size parity; JSON cardinality parity,CONFIRMED field/BREAD metadata; UNVERIFIED storage existence without filesystem inventory
sub_agents,half_photo_file_path,varchar(255),image,Usually scalar path; profile before load,"Voyager/public storage relative path, often sub_agents/<MonthYear>/...; physical root UNVERIFIED","file_id UUID, object_key, original_name, detected_mime, size_bytes, sha256, source_table, source_id, source_column, ordinal, created_at, classification",Private-by-default; short-lived authorized download; resource policy plus document classification,"Inventory path; MISSING if DB ref lacks object; ORPHAN if object lacks ref; quarantine, never silently delete",byte-for-byte SHA-256 after copy; independently sniff MIME; size parity; JSON cardinality parity,CONFIRMED field/BREAD metadata; UNVERIFIED storage existence without filesystem inventory
sub_agents,cv_file_path,varchar(250),file,Usually scalar path; profile before load,"Voyager/public storage relative path, often sub_agents/<MonthYear>/...; physical root UNVERIFIED","file_id UUID, object_key, original_name, detected_mime, size_bytes, sha256, source_table, source_id, source_column, ordinal, created_at, classification",Private-by-default; short-lived authorized download; resource policy plus document classification,"Inventory path; MISSING if DB ref lacks object; ORPHAN if object lacks ref; quarantine, never silently delete",byte-for-byte SHA-256 after copy; independently sniff MIME; size parity; JSON cardinality parity,CONFIRMED field/BREAD metadata; UNVERIFIED storage existence without filesystem inventory
teachers,bid_file_path,varchar(255),file,Usually scalar path; profile before load,"Voyager/public storage relative path, often teachers/<MonthYear>/...; physical root UNVERIFIED","file_id UUID, object_key, original_name, detected_mime, size_bytes, sha256, source_table, source_id, source_column, ordinal, created_at, classification",Private-by-default; short-lived authorized download; resource policy plus document classification,"Inventory path; MISSING if DB ref lacks object; ORPHAN if object lacks ref; quarantine, never silently delete",byte-for-byte SHA-256 after copy; independently sniff MIME; size parity; JSON cardinality parity,CONFIRMED field/BREAD metadata; UNVERIFIED storage existence without filesystem inventory
teachers,nid_file_path,varchar(255),file,Usually scalar path; profile before load,"Voyager/public storage relative path, often teachers/<MonthYear>/...; physical root UNVERIFIED","file_id UUID, object_key, original_name, detected_mime, size_bytes, sha256, source_table, source_id, source_column, ordinal, created_at, classification",Private-by-default; short-lived authorized download; resource policy plus document classification,"Inventory path; MISSING if DB ref lacks object; ORPHAN if object lacks ref; quarantine, never silently delete",byte-for-byte SHA-256 after copy; independently sniff MIME; size parity; JSON cardinality parity,CONFIRMED field/BREAD metadata; UNVERIFIED storage existence without filesystem inventory
teachers,passport_file_path,varchar(255),file,Usually scalar path; profile before load,"Voyager/public storage relative path, often teachers/<MonthYear>/...; physical root UNVERIFIED","file_id UUID, object_key, original_name, detected_mime, size_bytes, sha256, source_table, source_id, source_column, ordinal, created_at, classification",Private-by-default; short-lived authorized download; resource policy plus document classification,"Inventory path; MISSING if DB ref lacks object; ORPHAN if object lacks ref; quarantine, never silently delete",byte-for-byte SHA-256 after copy; independently sniff MIME; size parity; JSON cardinality parity,CONFIRMED field/BREAD metadata; UNVERIFIED storage existence without filesystem inventory
teachers,full_photo_file_path,varchar(255),image,Usually scalar path; profile before load,"Voyager/public storage relative path, often teachers/<MonthYear>/...; physical root UNVERIFIED","file_id UUID, object_key, original_name, detected_mime, size_bytes, sha256, source_table, source_id, source_column, ordinal, created_at, classification",Private-by-default; short-lived authorized download; resource policy plus document classification,"Inventory path; MISSING if DB ref lacks object; ORPHAN if object lacks ref; quarantine, never silently delete",byte-for-byte SHA-256 after copy; independently sniff MIME; size parity; JSON cardinality parity,CONFIRMED field/BREAD metadata; UNVERIFIED storage existence without filesystem inventory
teachers,half_photo_file_path,varchar(255),image,Usually scalar path; profile before load,"Voyager/public storage relative path, often teachers/<MonthYear>/...; physical root UNVERIFIED","file_id UUID, object_key, original_name, detected_mime, size_bytes, sha256, source_table, source_id, source_column, ordinal, created_at, classification",Private-by-default; short-lived authorized download; resource policy plus document classification,"Inventory path; MISSING if DB ref lacks object; ORPHAN if object lacks ref; quarantine, never silently delete",byte-for-byte SHA-256 after copy; independently sniff MIME; size parity; JSON cardinality parity,CONFIRMED field/BREAD metadata; UNVERIFIED storage existence without filesystem inventory
teachers,cv_file_path,varchar(250),file,Usually scalar path; profile before load,"Voyager/public storage relative path, often teachers/<MonthYear>/...; physical root UNVERIFIED","file_id UUID, object_key, original_name, detected_mime, size_bytes, sha256, source_table, source_id, source_column, ordinal, created_at, classification",Private-by-default; short-lived authorized download; resource policy plus document classification,"Inventory path; MISSING if DB ref lacks object; ORPHAN if object lacks ref; quarantine, never silently delete",byte-for-byte SHA-256 after copy; independently sniff MIME; size parity; JSON cardinality parity,CONFIRMED field/BREAD metadata; UNVERIFIED storage existence without filesystem inventory
ticket_companies,logo,longtext,image,Possible Voyager array JSON with download_link/original_name; detect per value,"Voyager/public storage relative path, often ticket_companies/<MonthYear>/...; physical root UNVERIFIED","file_id UUID, object_key, original_name, detected_mime, size_bytes, sha256, source_table, source_id, source_column, ordinal, created_at, classification",Private-by-default; short-lived authorized download; resource policy plus document classification,"Inventory path; MISSING if DB ref lacks object; ORPHAN if object lacks ref; quarantine, never silently delete",byte-for-byte SHA-256 after copy; independently sniff MIME; size parity; JSON cardinality parity,CONFIRMED field/BREAD metadata; UNVERIFIED storage existence without filesystem inventory
ticket_companies,signature,longtext,image,Possible Voyager array JSON with download_link/original_name; detect per value,"Voyager/public storage relative path, often ticket_companies/<MonthYear>/...; physical root UNVERIFIED","file_id UUID, object_key, original_name, detected_mime, size_bytes, sha256, source_table, source_id, source_column, ordinal, created_at, classification",Private-by-default; short-lived authorized download; resource policy plus document classification,"Inventory path; MISSING if DB ref lacks object; ORPHAN if object lacks ref; quarantine, never silently delete",byte-for-byte SHA-256 after copy; independently sniff MIME; size parity; JSON cardinality parity,CONFIRMED field/BREAD metadata; UNVERIFIED storage existence without filesystem inventory
trainings,certificate_file_path,varchar(250),UNVERIFIED: no file-type BREAD declaration,Usually scalar path; profile before load,"Voyager/public storage relative path, often trainings/<MonthYear>/...; physical root UNVERIFIED","file_id UUID, object_key, original_name, detected_mime, size_bytes, sha256, source_table, source_id, source_column, ordinal, created_at, classification",Private-by-default; short-lived authorized download; resource policy plus document classification,"Inventory path; MISSING if DB ref lacks object; ORPHAN if object lacks ref; quarantine, never silently delete",byte-for-byte SHA-256 after copy; independently sniff MIME; size parity; JSON cardinality parity,CONFIRMED field/BREAD metadata; UNVERIFIED storage existence without filesystem inventory
users,avatar,varchar(255),image,Usually scalar path; profile before load,"Voyager/public storage relative path, often users/<MonthYear>/...; physical root UNVERIFIED","file_id UUID, object_key, original_name, detected_mime, size_bytes, sha256, source_table, source_id, source_column, ordinal, created_at, classification",Private-by-default; short-lived authorized download; resource policy plus document classification,"Inventory path; MISSING if DB ref lacks object; ORPHAN if object lacks ref; quarantine, never silently delete",byte-for-byte SHA-256 after copy; independently sniff MIME; size parity; JSON cardinality parity,CONFIRMED field/BREAD metadata; UNVERIFIED storage existence without filesystem inventory
visa_immigrations,document_file_path,varchar(255),file,Usually scalar path; profile before load,"Voyager/public storage relative path, often visa_immigrations/<MonthYear>/...; physical root UNVERIFIED","file_id UUID, object_key, original_name, detected_mime, size_bytes, sha256, source_table, source_id, source_column, ordinal, created_at, classification",Private-by-default; short-lived authorized download; resource policy plus document classification,"Inventory path; MISSING if DB ref lacks object; ORPHAN if object lacks ref; quarantine, never silently delete",byte-for-byte SHA-256 after copy; independently sniff MIME; size parity; JSON cardinality parity,CONFIRMED field/BREAD metadata; UNVERIFIED storage existence without filesystem inventory
